evid,evid_ref,geophone,mod_arrival_time,corr_coeffs,dt_values,minfreq,maxfreq,grade,grade_new,isol_or_rpt,num_per_family,emergence_s,picktime_SNR,Regolith_Temp_K,Rock_Temp_K,interval_day_number,diurnal_interval,duration_s,PGV,theta_mean_lag_deg,theta_sd_lag_deg,theta_mean_snr_deg,theta_sd_snr_deg,possible_source,rock2_distance_m,rock3_distance_m
760831-17-M5,760831-17-M5,4,1976-08-31 17:39:28.600000,1.0,0.0,3,35,C,DD,isolated,1,1.474831,1976-08-31 17:39:28.600000,296.1479822222222,251.38392592592592,16.454497685185185,sunrise1,115.50000012974932,0.0032809050251187,-1.0,-1.0,-1.0,-1.0,GEO4_rock2or3,18.483988233062693,26.79331672264559
760913-12-M2,760913-12-M2,4,1976-09-13 12:34:58.533333,1.0,0.0,3,35,B,BB,isolated,1,0.998981,1976-09-13 12:34:58.533333,184.5018439512889,277.15494419764445,29.24303858024305,sunset1,47.80000012975202,0.0274419235799951,188.4932637684192,0.4901394880382245,150.1371725081346,51.99706362087419,GEO4_rock2or3,18.483988233062693,26.79331672264559
760913-12-M2,760913-12-M2,3,1976-09-13 12:34:59.333333,1.0,0.0,3,35,B,BB,isolated,1,0.930273,1976-09-13 12:34:59.333333,184.50023209943703,277.1546716050519,29.24304783950232,sunset1,28.00000012975174,0.014934072105528,188.4932637684192,0.4901394880382245,150.1371725081346,51.99706362087419,GEO4_rock2or3,70.21415882854397,77.53667648281038
760913-12-M2,760913-12-M2,2,1976-09-13 12:34:59.833333,1.0,0.0,3,35,B,BB,isolated,1,1.178572,1976-09-13 12:34:59.833333,184.49922469202963,277.1545012346815,29.24305362653936,sunset1,47.90000012975202,0.0109625679191863,188.4932637684192,0.4901394880382245,150.1371725081346,51.99706362087419,GEO4_rock2or3,104.5545356500616,108.88591793707761
770408-13-M2,770408-13-M2,4,1977-04-08 13:10:11.500000,1.0,0.0,3,35,C,AA,isolated,1,0.770409,1977-04-08 13:10:11.500000,189.1737481481481,279.8125777777778,29.29874421296296,sunset8,116.50000012974928,0.0244095053549438,170.77738078200835,0.5595361984803262,174.4989605288901,0.124602885715782,GEO4_rock2or3,18.483988233062693,26.79331672264559
770408-13-M2,770408-13-M2,3,1977-04-08 13:10:12.800000,1.0,0.0,3,35,C,AA,isolated,1,0.660885,1977-04-08 13:10:12.800000,189.1712829629629,279.8121155555556,29.298759259259256,sunset8,129.00000012974857,0.0147564928167056,170.77738078200835,0.5595361984803262,174.4989605288901,0.124602885715782,GEO4_rock2or3,70.21415882854397,77.53667648281038
770408-13-M2,770408-13-M2,2,1977-04-08 13:10:13.000000,1.0,0.0,3,35,C,AA,isolated,1,1.52381,1977-04-08 13:10:13.000000,189.1709037037037,279.81204444444444,29.298761574074074,sunset8,145.70000012974762,0.0089690908900108,170.77738078200835,0.5595361984803262,174.4989605288901,0.124602885715782,GEO4_rock2or3,104.5545356500616,108.88591793707761
770408-13-M2,770408-13-M2,1,1977-04-08 13:10:13.100000,1.0,0.0,3,35,C,AA,isolated,1,2.112586,1977-04-08 13:10:13.100000,189.17071407407408,279.8120088888889,29.29876273148148,sunset8,144.60000012974768,0.0077201599376972,170.77738078200835,0.5595361984803262,174.4989605288901,0.124602885715782,GEO4_rock2or3,114.07090844295053,122.38352092091483
761111-14-M5,761111-14-M5,4,1976-11-11 14:52:27.784514,1.0,0.0,3,35,A,AA,isolated,1,0.612586,1976-11-11 14:52:27.784514,191.0908350625481,280.4640882396741,29.307266024467594,sunset3,48.30000012975203,0.0250084098622115,187.91935893501267,1.3889760479508684,179.606091048886,0.4669618837138846,GEO4_rock2or3,18.483988233062693,26.79331672264559
761111-14-M5,761111-14-M5,3,1976-11-11 14:52:28.484514,1.0,0.0,3,35,A,AA,isolated,1,2.837756,1976-11-11 14:52:28.484514,191.0895180255111,280.46384972115555,29.30727412631944,sunset3,57.00000012975215,0.0097127905181341,187.91935893501267,1.3889760479508684,179.606091048886,0.4669618837138846,GEO4_rock2or3,70.21415882854397,77.53667648281038
761111-14-M5,761111-14-M5,2,1976-11-11 14:52:29.084514,1.0,0.0,3,35,A,AA,isolated,1,1.565987,1976-11-11 14:52:29.084514,191.08838913662223,280.46364527671113,29.30728107076389,sunset3,44.00000012975197,0.0096216879228797,187.91935893501267,1.3889760479508684,179.606091048886,0.4669618837138846,GEO4_rock2or3,104.5545356500616,108.88591793707761
761111-14-M5,761111-14-M5,1,1976-11-11 14:52:29.284514,1.0,0.0,3,35,A,AA,isolated,1,2.105783,1976-11-11 14:52:29.284514,191.08801284032592,280.463577128563,29.307283385578707,sunset3,38.80000012975189,0.00859639755635,187.91935893501267,1.3889760479508684,179.606091048886,0.4669618837138846,GEO4_rock2or3,114.07090844295053,122.38352092091483
761211-05-M2,761211-05-M2,4,1976-12-11 05:12:40.300000,1.0,0.0,3,35,C,AA,isolated,1,1.052042,1976-12-11 05:12:40.300000,194.1824948148148,281.72967111111114,29.32650810185185,sunset4,30.90000012975178,0.0222617958010355,210.73993123097725,2.0349615086736144,167.41991337194258,0.1252981538241748,GEO4_rock2or3,18.483988233062693,26.79331672264559
761211-05-M2,761211-05-M2,3,1976-12-11 05:12:41.300000,1.0,0.0,3,35,C,AA,isolated,1,0.757824,1976-12-11 05:12:41.300000,194.18068740740745,281.7293155555556,29.326519675925923,sunset4,28.500000129751747,0.0127731355897362,210.73993123097725,2.0349615086736144,167.41991337194258,0.1252981538241748,GEO4_rock2or3,70.21415882854397,77.53667648281038
761211-05-M2,761211-05-M2,1,1976-12-11 05:12:41.500000,1.0,0.0,3,35,C,AA,isolated,1,2.454082,1976-12-11 05:12:41.500000,194.180325925926,281.7292444444445,29.32652199074074,sunset4,41.800000129751936,0.007896048489551,210.73993123097725,2.0349615086736144,167.41991337194258,0.1252981538241748,GEO4_rock2or3,114.07090844295053,122.38352092091483
761211-05-M2,761211-05-M2,2,1976-12-11 05:12:41.600000,1.0,0.0,3,35,C,AA,isolated,1,1.257144,1976-12-11 05:12:41.600000,194.1801451851852,281.7292088888889,29.326523148148148,sunset4,76.80000012975152,0.0117953723767599,210.73993123097725,2.0349615086736144,167.41991337194258,0.1252981538241748,GEO4_rock2or3,104.5545356500616,108.88591793707761
